Posto,Município,Região,Normal (mm),Observado (mm),Desvio (%)
SENADOR SA,Senador Sá,LITORAL NORTE,877.6,855,-2.6
SAMBAIBA,Granja,LITORAL NORTE,1032.1,854.4,-17.2
BAIXIO,Baixio,CARIRI,851,846.6,-0.5
NOVA RUSSAS,Nova Russas,IBIAPABA,779.7,840.5,7.8
ITAITINGA,Itaitinga,LITORAL DE FORTALEZA,1033.3,840,-18.7
SITIO SACO,Porteiras,CARIRI,0,836.2,0
VILA FEITOSA,Caririaçu,CARIRI,817.7,834,2
GRANJA,Granja,LITORAL NORTE,1099.4,830.3,-24.5
GUAIUBA,Guaiúba,MACICO DE BATURITE,962.9,829,-13.9
LAMBEDOURO,Viçosa do Ceará,IBIAPABA,0,828.4,0
MISSAO VELHA,Missão Velha,CARIRI,995.7,826.1,-17
BARRA DAS MOITAS,Amontada,LITORAL NORTE,0,819.8,0
REDENCAO,Redenção,MACICO DE BATURITE,1139.7,818.8,-28.2
ABAIARA,Abaiara,CARIRI,925.9,818,-11.7
SANTO ANTONIO,Ararendá,IBIAPABA,318.4,815.2,156
JERICOACOARA,Jijoca de Jericoacoara,LITORAL NORTE,507,808,59.4
CHAVAL,Chaval,LITORAL NORTE,876.8,806,-8.1
PRAIA DA BALEIA,Itapipoca,LITORAL DE PECEM,1127.3,802.4,-28.8
